TIME,OPEN,CLOSE,HIGH,LOW,VOLUME
1679265660,1975.58,1977.66,1974.845,1977.11,916
1679265720,1976.984,1977.69,1976.495,1977.43,596
1679265780,1977.5,1977.71,1976.875,1977.18,320
1679265840,1977.14,1977.67,1977.07,1977.25,337
1679265900,1977.27,1979.28,1977.165,1979.22,611
1679265960,1979.145,1979.32,1977.815,1978.31,492
1679266020,1978.27,1978.44,1977.795,1977.88,403
1679266080,1977.86,1977.88,1977.205,1977.39,359
1679266140,1977.42,1977.58,1976.795,1976.84,325
1679266200,1976.89,1976.95,1975.794,1976.18,425
1679266260,1976.22,1976.46,1976.004,1976.37,297
1679266320,1976.39,1976.81,1976.265,1976.81,249
1679266380,1976.76,1976.86,1976.35,1976.67,323
1679266440,1976.58,1977.09,1976.575,1976.68,328
1679266500,1976.625,1977.45,1976.53,1976.66,383
1679266560,1976.72,1976.81,1976.055,1976.37,227
1679266620,1976.37,1976.8,1976.215,1976.49,266
1679266680,1976.43,1976.74,1976.124,1976.4,378
1679266740,1976.41,1977.27,1976.214,1977.27,394
1679266800,1977.22,1977.82,1977,1977.74,515
1679266860,1977.544,1977.77,1976.9,1977.25,336
1679266920,1977,1977.43,1976.8,1977.43,429
1679266980,1977.35,1978.14,1977,1978.14,429
1679267040,1978.06,1978.47,1977.7,1978.05,448
1679267100,1978.14,1978.5,1977.5,1978.25,540
1679267160,1977.9,1978.26,1977.3,1977.8,421
1679267220,1977.81,1978.22,1977.3,1977.95,377
1679267280,1977.794,1978.11,1977.3,1977.72,405
1679267340,1977.71,1978.35,1977.3,1977.69,507
1679267400,1977.73,1978.16,1977.1,1977.78,496
1679267460,1977.81,1978.17,1977.2,1978.17,348
1679267520,1978.17,1978.85,1977.8,1978.73,591
1679267580,1978.4,1978.87,1978.2,1978.8,342
1679267640,1978.81,1978.98,1978.4,1978.79,328
1679267700,1978.82,1978.93,1978,1978.63,365
1679267760,1978.7,1978.9,1978.1,1978.64,248
1679267820,1978.54,1978.65,1977.8,1978.46,270
1679267880,1978.5,1978.71,1978.1,1978.58,217
1679267940,1978.51,1978.72,1978.1,1978.4,234
1679268000,1978.59,1978.9,1978.1,1978.84,343
1679268060,1978.7,1979.13,1978.3,1978.875,311
1679268120,1978.95,1979.29,1978.6,1978.95,257
1679268180,1978.86,1979.08,1978.2,1978.405,254
1679268240,1978.57,1978.95,1978.1,1978.7,251
1679268300,1978.595,1979.51,1978,1979.1,615
1679268360,1979.36,1979.42,1978.4,1979.325,449
1679268420,1979.41,1979.57,1978.8,1979.2,392
1679268480,1979.43,1979.51,1978.9,1979.25,308
1679268540,1978.9,1979.41,1978.8,1979.28,339
1679268600,1979.22,1979.48,1978.7,1979.17,434
1679268660,1978.9,1979.26,1978.2,1978.62,434
1679268720,1978.63,1978.78,1977.7,1978.13,577
1679268780,1978.16,1978.21,1977,1977.28,564
1679268840,1977.19,1977.38,1976.5,1976.6,467
1679268900,1976.86,1976.98,1976.2,1976.3,417
1679268960,1976.51,1976.77,1976.1,1976.4,372
1679269020,1976.61,1976.89,1976.1,1976.6,339
1679269080,1976.595,1977.28,1976.2,1976.5,429
1679269140,1976.82,1976.88,1976.1,1976.3,341
1679269200,1976.59,1976.74,1976.1,1976.61,279
1679269260,1976.57,1976.71,1976,1976.57,309
1679269320,1976.61,1976.66,1975.5,1976.16,469
1679269380,1976.065,1977.09,1975.8,1976.53,463
1679269440,1976.48,1976.76,1976.1,1976.58,332
1679269500,1976.59,1976.86,1976,1976.4,563
1679269560,1976.705,1977.06,1976.1,1976.72,565
1679269620,1976.725,1976.84,1976.2,1976.7,475
1679269680,1976.71,1976.99,1976.1,1976.66,476
1679269740,1976.63,1976.92,1976.2,1976.75,273
1679269800,1976.735,1976.93,1976.1,1976.2,423
1679269860,1976.43,1976.56,1975.9,1976.355,506
1679269920,1976.37,1976.68,1976,1976.1,366
1679269980,1976.4,1976.41,1975.8,1976.19,392
1679270040,1976.2,1976.39,1975.8,1976.24,365
1679270100,1975.9,1976.63,1975.9,1976.19,406
1679270160,1976.19,1976.66,1975.9,1976.3,386
1679270220,1976.59,1976.86,1976.1,1976.56,291
1679270280,1976.63,1976.91,1976.1,1976.59,377
1679270340,1976.5,1976.94,1976.3,1976.87,395
1679270400,1976.895,1977.31,1975.8,1976.52,1039
1679270460,1976.51,1977.02,1976.2,1976.7,774
1679270520,1976.93,1978.31,1976.5,1977.64,891
1679270580,1977.65,1978.44,1977.4,1977.985,1102
1679270640,1978.06,1978.43,1977.6,1978.085,753
1679270700,1978.13,1978.38,1977.5,1978.32,683
1679270760,1978.25,1978.36,1977.5,1978.19,530
1679270820,1978.19,1978.22,1977.3,1977.72,569
1679270880,1977.68,1977.8,1977.2,1977.55,488
1679270940,1977.49,1978.06,1977.1,1977.78,559
1679271000,1977.4,1978.16,1977.1,1977.56,641
1679271060,1977.52,1977.63,1976.3,1977.54,868
1679271120,1977.54,1978.2,1977.1,1977.5,1009
1679271180,1977.54,1977.76,1976.9,1977.37,764
1679271240,1977.328,1977.53,1976.6,1976.97,503
1679271300,1976.88,1977.2,1976.1,1976.52,852
1679271360,1976.47,1976.77,1976.1,1976.53,603
1679271420,1976.62,1976.77,1975.8,1976.1,524
1679271480,1976,1976.7,1976,1976.46,469
1679271540,1976.39,1976.52,1975.6,1976.22,602
1679271600,1976.23,1976.68,1975.7,1976.68,597
1679271660,1976.6,1977.18,1975.9,1977.17,591
1679271720,1977.105,1977.66,1976.8,1977.6,643
1679271780,1977.57,1977.7,1976.8,1977.37,563
1679271840,1977.31,1977.62,1976.8,1977.54,596
